-------------------------------------------------------------------------------------------------------------------------------------------------------
| g                                                                                                                  | country                | count |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Ireland"              | 1     |
| <http://www.labelsandlabeling.com/suppliers?companyid=1331>                                                        | "Italy"                | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Spain"                | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Finland"              | 1     |
| <http://www.last.fm/fr/label/Luaka+Bop/events?setlang=fr>                                                          | "Colombie"             | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Brazil"               | 2     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Egypt"                | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "United States"        | 50    |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Congo"                | 2     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Uganda"               | 3     |
| <http://www.labelsandlabeling.com/suppliers>                                                                       | "China"                | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Bulgaria"             | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Sri Lanka"            | 1     |
| <http://www.grassrootsfeminism.net/cms/taxonomy/term/120?page=10>                                                  | "Canada"               | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Singapore"            | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Colombia"             | 4     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Portugal"             | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Turquie"              | 1     |
| <http://www.ticketnetwork.com/tickets/paris-saint-germain-fc-tickets.aspx?pid=47479>                               | "Switzerland"          | 1     |
| <http://www.erickson-foundation.org/institutes/>                                                                   | "Argentina"            | 3     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Irlande"              | 1     |
| <http://www.setlist.fm/setlists/brit-floyd-73dffaa9.html>                                                          | "Germany"              | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Russie"               | 11    |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Poland"               | 19    |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Argentina"            | 11    |
| <http://www.labelsandlabeling.com/suppliers/a?tid_op=or&tid=113&title_1=&field_country_value=or&country=All&keys=> | "United Kingdom"       | 4     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Saudi Arabia"         | 1     |
| <http://www.setlist.fm/setlists/villagers-6bd58a8a.html>                                                           | "Wales"                | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Turkey"               | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Lithuania"            | 2     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Estonia"              | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Mauritius"            | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Iceland"              | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "United Arab Emirates" | 1     |
| <http://www.setlist.fm/setlists/brit-floyd-73dffaa9.html>                                                          | "Sweden"               | 1     |
| <http://www.setlist.fm/setlists/villagers-6bd58a8a.html>                                                           | "USA"                  | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Austria"              | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Colombie"             | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Malaysia"             | 1     |
| <http://www.lcsqa.org/aasqa>                                                                                       | "Mayotte"              | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Belgium"              | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Czech Republic"       | 5     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Grèce"                | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Philippines"          | 2     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Égypte"               | 1     |
| <http://www.labelsandlabeling.com/suppliers/a?tid_op=or&tid=113&title_1=&field_country_value=or&country=All&keys=> | "Brazil"               | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Zambia"               | 2     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Portugal"             | 1     |
| <http://www.ticketnetwork.com/tickets/cirque-du-soleil-varekai-tickets.aspx>                                       | "Spain"                | 3     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "New Zealand"          | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Croatia"              | 1     |
| <http://www.labelsandlabeling.com/suppliers/a?tid_op=or&tid=113&title_1=&field_country_value=or&country=All&keys=> | "Italy"                | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Burundi"              | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Sweden"               | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Slovak Republic"      | 3     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "South Africa"         | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Greece"               | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Switzerland"          | 2     |
| <http://www.ticketnetwork.com/tickets/cirque-du-soleil-varekai-tickets.aspx>                                       | "Italy"                | 2     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Taiwan"               | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Malta"                | 1     |
| <http://www.setlist.fm/setlists/brit-floyd-73dffaa9.html>                                                          | "Portugal"             | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Norway"               | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Lebanon"              | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Hungary"              | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Denmark"              | 3     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Iran"                 | 2     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Yugoslavia"           | 1     |
| <http://www.last.fm/fr/label/Luaka+Bop/events?setlang=fr>                                                          | "Mexique"              | 4     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Reunion (French)"     | 2     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Arabie Saoudite"      | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "United States"        | 9     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Macedonia"            | 1     |
| <http://www.last.fm/fr/label/Luaka+Bop/events?setlang=fr>                                                          | "Roumanie"             | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Inde"                 | 8     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Finland"              | 3     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Japan"                | 2     |
| <http://www.setlist.fm/setlists/hans-zimmer-73d6b675.html>                                                         | "Netherlands"          | 1     |
| <http://www.last.fm/fr/label/Luaka+Bop/events?setlang=fr>                                                          | "Danemark"             | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Chine"                | 2     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Allemagne"            | 5     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Germany"              | 5     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Netherlands"          | 1     |
| <http://www.erickson-foundation.org/institutes/>                                                                   | "Mexico"               | 3     |
| <http://www.setlist.fm/setlists/villagers-6bd58a8a.html>                                                           | "Ireland"              | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Mexico"               | 8     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "India"                | 8     |
| <http://www.setlist.fm/setlists/villagers-6bd58a8a.html>                                                           | "Spain"                | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "United Arab Emirates" | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Austria"              | 3     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Ivory Coast"          | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Vietnam"              | 1     |
| <http://www.setlist.fm/setlists/villagers-6bd58a8a.html>                                                           | "Belgium"              | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Taïwan"               | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Indonesia"            | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Turkey"               | 8     |
